"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",43.4535249535718,11.8982541524105,3.65209251684781,0.000264704257872463,19.6570166487508,67.2500332583928
"age",0.101563607510757,0.0133619604673777,7.60095105495315,3.94146754080726e-14,0.0748396865760014,0.128287528445512
"diabPre-diabete",9.38891040380263,11.7344322980054,0.800116287295683,0.423708848949899,-14.0799541922082,32.8577749998134
"diabdiabete",12.2323506183569,11.8706234522581,1.03047246570946,0.302874056128812,-11.5088962861592,35.973597522873
"diabUnknown",12.9481182645282,11.7101531410626,1.10571724456144,0.268940485678297,-10.4721880175969,36.3684245466533
"bmi",0.371586841902049,0.0387078914696753,9.5997696540293,1.6647900249383e-21,0.294171058962698,0.4490026248414
"smokeSmoke",2.0164082339042,0.684768849015188,2.94465531953466,0.00325880563693208,0.646870535873827,3.38594593193458
"smokeUnknown",0.587965781504935,0.540525329344769,1.08776730633081,0.27678808508461,-0.493084877184603,1.66901644019447
"countryUnited States",0.991196153305473,0.645289809344194,1.53604804996506,0.124635497309791,-0.299383465382915,2.28177577199386
"raceNon-Hispanic Black",0.900165192187753,1.47359158956134,0.610864773227779,0.541336898215338,-2.04701798693494,3.84734837131044
"raceHispanic",-1.65710367395631,1.40667586977072,-1.17802807993458,0.238881904110958,-4.47045541349774,1.15624806558512
"raceOther",-0.160251407260181,1.37311001254089,-0.116706895876202,0.907100392825194,-2.90647143234196,2.5859686178216
"educationmore than high school",2.09231095217565,0.46245230390535,4.52438215683293,6.30026778015554e-06,1.16740634436495,3.01721555998635
"educationRefused/Missing",-0.565928353964695,5.86815543400624,-0.0964405868810347,0.923177311026138,-12.3022392219772,11.1703825140478
"genderFemale",2.18955717125651,0.467041948043312,4.68813814354305,2.88411727151298e-06,1.25547327516988,3.12364106734313
"sedentary",-7.29432699276692,3.12114003996817,-2.33707135833652,0.0195030775711544,-13.5366070727033,-1.05204691283058
"activitycCounts",-0.000661259326024727,0.00202580108456341,-0.326418684965428,0.74413111627537,-0.00471286149515155,0.0033903428431021
