"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",89.5459165853001,18.839306221565,4.75314300495836,2.10023350708339e-06,51.8673041421701,127.22452902843
"age",0.657375039870827,0.021156890896836,31.0714387608407,2.95255713464232e-183,0.615061258077155,0.699688821664499
"diabPre-diabete",-2.89743245106213,18.5799160588244,-0.155944324069538,0.876087742361421,-40.057264568711,34.2623996665867
"diabdiabete",-0.381380171963113,18.7955566752349,-0.0202909750720829,0.983812648657291,-37.972493522433,37.2097331785067
"diabUnknown",-2.33896947139838,18.5414732363239,-0.126147984121143,0.899623514628286,-39.4219159440461,34.7439770012494
"bmi",0.400287964958513,0.0612888085299961,6.53117550429462,7.67534372734858e-11,0.277710347898521,0.522865582018505
"smokeSmoke",0.982766129307497,1.08424058457116,0.906409650489338,0.364794240793197,-1.18571503983481,3.15124729844981
"smokeUnknown",1.50724171238109,0.855850116294192,1.76110475851474,0.0783258666574749,-0.20445852020729,3.21894194496948
"countryUnited States",1.71203098788388,1.02173076521715,1.67561851533365,0.0939205560940279,-0.331430542550425,3.75549251831819
"raceNon-Hispanic Black",2.07606318642934,2.3332366955403,0.889778216842503,0.373658662265766,-2.59041020465126,6.74253657750993
"raceHispanic",-3.99112180526592,2.22728453482631,-1.79192273948832,0.073249380889989,-8.44569087491853,0.463447264386695
"raceOther",0.371172586965108,2.17413745502436,0.170721766513585,0.864454436062834,-3.97710232308361,4.71944749701382
"educationmore than high school",-1.29763182989492,0.732231842969676,-1.7721597911287,0.0764728311291419,-2.76209551583427,0.166831856044429
"educationRefused/Missing",-12.6731216181125,9.29144526254612,-1.3639559035232,0.172687112804878,-31.2560121432047,5.90976890697978
"genderFemale",1.30867953039785,0.739498935288893,1.76968413062907,0.0768846607294028,-0.17031834017994,2.78767740097563
"sedentary",-4.05701783891771,4.94191099132266,-0.82094109870479,0.411747180685604,-13.940839821563,5.82680414372762
"activitycCounts",-0.00698378527289798,0.00320758713733954,-2.17727063174674,0.0295406145028115,-0.013398959547577,-0.000568610998218905
