"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",-0.0369459901629421,0.350053049689752,-0.105543974536679,0.915951480131869,-0.737052089542447,0.663160109216562
"age",0.000542201772337647,0.000406081957782961,1.33520281299333,0.181914808611386,-0.000269962143228275,0.00135436568790357
"diabPre-diabete",0.0948518294610154,0.345763199287033,0.274325982801526,0.783853664331944,-0.596674569113051,0.786378228035082
"diabdiabete",0.0893565113406532,0.349793469240691,0.255455059051338,0.798389772186364,-0.61023042714073,0.788943449822036
"diabUnknown",0.056045060044801,0.34506923423127,0.162416855764194,0.870988917492,-0.634093408417738,0.74618352850734
"bmi",0.00257136269143149,0.00114898371702003,2.23794528446452,0.0253002823166717,0.000273395257391437,0.00486933012547154
"smokeSmoke",0.00221166266174367,0.0201870618349086,0.109558423104403,0.912767168530229,-0.0381624610080736,0.0425857863315609
"smokeUnknown",0.00814122885431116,0.0159187501563497,0.5114238727507,0.609093231411933,-0.0236962714583882,0.0399787291670105
"countryMexico",-0.0362644364065645,0.0380704843217773,-0.952560416622291,0.340892253711972,-0.112405405050119,0.03987653223699
"countryU.S.",-0.0361133343038232,0.0265313030431876,-1.36115946680183,0.173569090915896,-0.0891759403901985,0.0169492717825521
"raceNon-Hispanic Black",0.0132746566955514,0.0259050327002437,0.512435434811342,0.608385334748105,-0.038535408704936,0.0650847220960389
"raceMexican American",0.0273293490124341,0.022368939176583,1.22175436200586,0.221899868691195,-0.0174085293407319,0.0720672273656001
"raceOther Hispanic",-0.0297467178023114,0.0472474795336044,-0.629593749676198,0.529010027223648,-0.12424167686952,0.0647482412648974
"raceOther Race - Including Multi-Racial",0.00600355387823856,0.0408475651597353,0.146974583546449,0.883162301706849,-0.0756915764412321,0.0876986841977092
"education2",-0.00969503407270088,0.025547478285218,-0.379490843067298,0.704351198124525,-0.060789990643137,0.0413999224977352
"education3",0.0422300029208929,0.0237079082916504,1.78126228604342,0.0749742823449669,-0.00518581366240785,0.0896458195041937
"education4",0.0274513431359331,0.0239021163113564,1.14849006583114,0.250861066609077,-0.0203528894867796,0.0752555757586459
"education5",0.0713944219136821,0.0259991002049447,2.74603433776157,0.00606928475979438,0.0193962215037926,0.123392622323572
"education7",-0.0935824236689138,0.24422454658778,-0.383181891322616,0.701612998989439,-0.582031516844473,0.394866669506646
"education9",-0.120840028225992,0.244511904906598,-0.494209180825578,0.621195901115124,-0.609863838039188,0.368183781587205
"genderFemale",0.0372477679944368,0.0137568660255565,2.7075765603329,0.00681741597814742,0.00973403594332385,0.0647615000455498
"sedentary",-0.160038878049683,0.0929785739722477,-1.72124470415572,0.0853131187693143,-0.345996025994178,0.0259182698948128
"activitycCounts",0.000142277786043673,5.99982858297871e-05,2.37136418275865,0.0177875530737391,2.22812143840987e-05,0.000262274357703247
