"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",1.44233091877428,0.419066078085377,3.44177444608253,0.000586092853447764,0.604198762603523,2.28046307494503
"age",-0.0124694286334093,0.000486141096557111,-25.6498138538765,6.09123385844992e-131,-0.0134417108265235,-0.0114971464402951
"diabPre-diabete",-0.157409351205594,0.41393048282222,-0.380279679168254,0.703765677470471,-0.985270316850033,0.670451614438845
"diabdiabete",-0.249126018981373,0.418755321299135,-0.594920246526041,0.551943213750025,-1.08663666157964,0.588384623616897
"diabUnknown",-0.141558242083535,0.413099702417635,-0.342673309264266,0.731869087828829,-0.967757646918805,0.684641162751736
"bmi",-0.0130214909651399,0.0013755060854413,-9.46669091686511,5.78073362051814e-21,-0.0157725031360225,-0.0102704787942572
"smokeSmoke",-0.0192337285843803,0.0241669450922364,-0.79586925492536,0.426173194979792,-0.0675676187688531,0.0291001616000926
"smokeUnknown",-0.0267946650486238,0.0190571349169929,-1.406017492416,0.159826100674449,-0.0649089348826096,0.011319604785362
"countryMexico",0.054181315669127,0.0455760878806167,1.18881014559765,0.234611754098868,-0.0369708600921064,0.14533349143036
"countryU.S.",-0.00808320869935666,0.0317619547170274,-0.254493426848924,0.79913243167401,-0.0716071181334115,0.0554407007346982
"raceNon-Hispanic Black",-0.0572518634991996,0.0310122150513645,-1.84610687770529,0.064978571941143,-0.119276293601929,0.00477256660352939
"raceMexican American",0.0311165970930865,0.0267789799859452,1.16197842895502,0.245339881040198,-0.022441362878804,0.0846745570649769
"raceOther Hispanic",0.047058385215237,0.0565623295243822,0.831973958833354,0.405492168859182,-0.0660662738335275,0.160183044264001
"raceOther Race - Including Multi-Racial",-0.0753425461956914,0.0489006707583278,-1.54072623191698,0.123492569437078,-0.173143887712347,0.0224587953209642
"education2",0.0387592401044158,0.0305841687122747,1.26729748547523,0.205150729111128,-0.0224090973201336,0.0999275775289651
"education3",-0.00203831612213756,0.0283819271284599,-0.0718173967860569,0.942752181947376,-0.0588021703790574,0.0547255381347823
"education4",-0.00835863383932492,0.0286144232978921,-0.292112608816431,0.770221428816577,-0.0655874804351091,0.0488702127564592
"education5",0.0183796011645458,0.0311248279833337,0.590512537913061,0.554893111605897,-0.0438700548021215,0.0806292571312132
"education7",-0.0739069763251412,0.292373464540385,-0.252782777128301,0.800453999351751,-0.65865390540591,0.510839952755628
"education9",0.542358107556683,0.292717475608933,1.85283815538662,0.0640071202731695,-0.0430768436611826,1.12779305877455
"genderFemale",-0.0990288036965926,0.0164690348996685,-6.01303016842754,2.04879150964239e-09,-0.13196687349593,-0.0660907338972556
"sedentary",0.348143967351359,0.11130931833062,3.1277162826321,0.00177918074745487,0.125525330690119,0.570762604012598
"activitycCounts",3.14269885404185e-05,7.18269598188574e-05,0.437537501513013,0.661754178449001,-0.000112226931097296,0.000175080908178133
