"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",-0.157944075293979,0.387482937324334,-0.407615562080288,0.683585973135301,-0.932909949942646,0.617021799354688
"age",0.00148171019305397,0.000435150537548587,3.40505196523749,0.000670492275482362,0.000611409117956794,0.00235201126815114
"diabPre-diabete",0.0689202608251635,0.382147854334032,0.180349726011862,0.856890599549357,-0.695375447842901,0.833215969493228
"diabdiabete",0.0668101956830631,0.386583105742469,0.172822336751493,0.862803118589901,-0.706356015801875,0.839976407168001
"diabUnknown",0.074042416616895,0.381357170345653,0.194155039879766,0.846068061152186,-0.688671924074412,0.836756757308202
"bmi",0.00558707624141631,0.00126057548377908,4.43216317730281,9.67477842170315e-06,0.00306592527385815,0.00810822720897447
"smokeSmoke",0.0368509085806231,0.0223004351399615,1.65247486649208,0.0985458495680579,-0.00774996169929992,0.0814517788605462
"smokeUnknown",-0.017307834527789,0.0176029474265585,-0.983235029247188,0.325573657952861,-0.0525137293809061,0.0178980603253281
"countryUnited States",0.0180796060417549,0.0210147461591658,0.86032949933441,0.389678431724024,-0.0239498862765768,0.0601090983600865
"raceNon-Hispanic Black",0.0188265816211296,0.0479895277261315,0.392306040779768,0.69486088055986,-0.0771524738311335,0.114805637073393
"raceHispanic",0.00311498175952704,0.0458103256914875,0.0679973720445709,0.945792405826998,-0.088505669623448,0.094735633142502
"raceOther",0.0276987167052562,0.0447172075930993,0.619419641702552,0.535688520036706,-0.0617356984809424,0.117133131891455
"educationmore than high school",0.0413176543386426,0.0150603924571024,2.74346465115903,0.00611678807388048,0.0111968694244378,0.0714384392528474
"educationRefused/Missing",-0.182184481305254,0.191104516269207,-0.953323787746666,0.340505357587271,-0.564393513843668,0.200024551233159
"genderFemale",0.0743693793480123,0.0152098605025039,4.88955038974679,1.06562753901564e-06,0.0439496583430045,0.10478910035302
"sedentary",-0.11260948235242,0.101644198803943,-1.10787908879707,0.268005756538265,-0.315897879960307,0.0906789152554658
"activitycCounts",-5.97180568615968e-06,6.59729860050455e-05,-0.0905189540110095,0.927881073159116,-0.000137917777696251,0.000125974166323931
