"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",49.5255730837388,12.8372675558973,3.85795286014643,0.000116816131484283,23.8510379719443,75.2001081955334
"age23",1.30713332007974,1.54391909142205,0.846633303093483,0.39726901934879,-1.78070486276437,4.39497150292385
"age28",4.71197458503309,1.51140496337348,3.11761222122487,0.00184099595756738,1.68916465828613,7.73478451178006
"age33",5.96609522201192,1.48852339028199,4.00806279630023,6.27519670514639e-05,2.98904844144794,8.9431420025759
"age38",10.723402098012,1.49243432062108,7.18517522000525,8.48635662373592e-13,7.73853345676981,13.7082707392541
"age43",13.2765762207411,1.49295343519492,8.89282673374721,1.02226970890649e-18,10.2906693503513,16.2624830911309
"age48",14.6716891075221,1.49483427830377,9.81492685876217,2.14972694995439e-22,11.6820205509145,17.6613576641296
"age53",12.6242780362102,1.56215483266505,8.08132316479351,9.2873133311241e-16,9.49996837088012,15.7485877015403
"age58",12.5433174070111,1.502999081543,8.34552566335168,1.0802237322305e-16,9.5373192439251,15.5493155700971
"age63",7.51860581356871,1.51170281200134,4.97360046821297,6.95286591641313e-07,4.49520018956604,10.5420114375714
"age68",6.66627414471959,1.5109195366602,4.41206429791423,1.06101523430722e-05,3.64443507139918,9.68811321803999
"age73",3.06067593612838,1.58493689460801,1.93110271237982,0.0535671690458087,-0.109197853087637,6.23054972534439
"age78",2.86412217980624,1.63922495524932,1.74724168921075,0.0807006896126063,-0.414327730692411,6.14257209030489
"age83",-1.43960225912716,1.6971379913626,-0.848252921361645,0.396366752952329,-4.83387824185236,1.95467372359804
"diabPre-diabete",4.51770665173268,12.623895946952,0.357869446224599,0.720466918201832,-20.7300852421714,29.7654985456367
"diabdiabete",6.3927263212758,12.7662023130938,0.500753956775307,0.616582086821609,-19.1396783049118,31.9251309474635
"diabUnknown",8.92270794855587,12.5979550652609,0.708266373576804,0.478836465432076,-16.273202181966,34.1186180790777
"bmi",0.243790633615438,0.0431003560632505,5.65634848254318,1.69614658540202e-08,0.157589921488937,0.329991345741939
"smokeSmoke",-0.242798046640121,0.748840161968783,-0.324232137872758,0.745785547462449,-1.74047837057769,1.25488227729744
"smokeUnknown",1.19665765075029,0.580846771887466,2.06019506118927,0.0394684349188148,0.0349641069753546,2.35835119452522
"countryMexico",-2.20974455499154,1.3851791893588,-1.59527703849956,0.110758664024337,-4.98010293370915,0.560613823726071
"countryU.S.",-0.0921744148555622,0.965551587383891,-0.0954629623729413,0.923953667095437,-2.02327758962334,1.83892875991222
"raceNon-Hispanic Black",1.15943705385762,0.943880486788137,1.22837273371652,0.219406210298864,-0.72832391971865,3.0471980274339
"raceMexican American",-1.45434667620591,0.816364567579239,-1.78149166924096,0.0749362154845266,-3.08707581136439,0.178382458952568
"raceOther Hispanic",-0.508623265051793,1.72943952915062,-0.294097166439577,0.768704587951145,-3.96750232335303,2.95025579324944
"raceOther Race - Including Multi-Racial",1.94692561025597,1.49046669175186,1.30625234433625,0.191569781472033,-1.03400777324775,4.9278589937597
"education2",-0.264614025635681,0.965274616082658,-0.274133413669941,0.784001513759621,-2.195163257801,1.66593520652964
"education3",0.651872463622507,0.8756939724726,0.744406703841854,0.456690448245785,-1.09951548132269,2.40326040856771
"education4",0.379304072151252,0.883353090527913,0.429391232360518,0.667670256469739,-1.38740210890457,2.14601025320708
"education5",-0.815047874397466,0.964870094909528,-0.844722910055462,0.398334863770868,-2.74478806421652,1.11469231542159
"education7",4.98408481269026,8.9117925398303,0.559268496255319,0.576021442221951,-12.8395002669703,22.8076698923509
"education9",10.9709075246133,8.95395003913779,1.22525896131421,0.220576622124969,-6.93699255366225,28.8788076028889
"educationUnknown",-2.03700935644134,1.67076755969357,-1.21920571453694,0.222864735641289,-5.37854447582848,1.30452576294579
"genderFemale",2.82864983577118,0.501378723685327,5.6417428625202,1.84483523264533e-08,1.82589238840053,3.83140728314183
"sedentary",-2.0326423406509,3.40326762715093,-0.597261973884947,0.550378860867219,-8.83917759495275,4.77389291365095
"activitycCounts",-0.00482699172449853,0.002207642506038,-2.18649156794929,0.0288588836153077,-0.00924227673657453,-0.000411706712422519
