"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",106.207013915922,18.9249734634764,5.61200332042171,2.18774444983623e-08,68.3570669889696,144.056960842875
"age23",1.51293768929325,2.27607843395726,0.664712457497703,0.506286986424962,-3.03921917862127,6.06509455720777
"age28",2.21456690915877,2.22814541333368,0.993905916510811,0.320351139773354,-2.24172391750858,6.67085773582612
"age33",3.34310030912892,2.19441291055039,1.52346000748347,0.127752094549902,-1.04572551197186,7.7319261302297
"age38",7.40285315677837,2.20017848741965,3.36466027602168,0.000776289616281022,3.00249618193906,11.8032101316177
"age43",12.1073883310081,2.20094377718958,5.50099846097306,4.10355096166378e-08,7.70550077662895,16.5092758853873
"age48",18.6877748844347,2.20371655619174,8.48011729635922,3.5222289166582e-17,14.2803417720513,23.0952079968182
"age53",17.9093353289989,2.30296195240134,7.77665271904491,1.02499645017514e-14,13.3034114241962,22.5152592338016
"age58",26.636168291796,2.21575328316374,12.0212699194397,1.59275590991802e-32,22.2046617254685,31.0676748581235
"age63",24.8598758221026,2.22858450812965,11.1550070151777,2.51290561396696e-28,20.4027068058433,29.3170448383619
"age68",28.6978203926709,2.22742978692585,12.8838271630899,5.55858232447831e-37,24.2429608188192,33.1526799665226
"age73",30.6829865978032,2.33654775372832,13.1317609703648,2.59074923617352e-38,26.0098910903466,35.3560821052599
"age78",40.4479463970999,2.41658036990205,16.7376789536445,4.07780589747188e-60,35.6147856572958,45.281107136904
"age83",40.3662699483958,2.50195700218464,16.1338783652753,3.70945456748788e-56,35.3623559440265,45.3701839527651
"diabPre-diabete",-2.45050780194909,18.6104164894502,-0.131673990388029,0.895251242959288,-39.6713407808495,34.7703251769513
"diabdiabete",0.443342835665937,18.8202075677455,0.0235567452734021,0.981207786633058,-37.1970722998251,38.083757971157
"diabUnknown",-1.84617795994184,18.5721738887187,-0.099405593066478,0.920823075103023,-38.9905257373793,35.2981698174956
"bmi",0.46596908492457,0.0635394636133989,7.33353822058876,2.88982344127353e-13,0.338890157697772,0.593048012151368
"smokeSmoke",1.03915803109401,1.10395612866496,0.94130373853777,0.346627199081571,-1.16875422623591,3.24707028842392
"smokeUnknown",1.19556091539878,0.856296692146642,1.39619938552097,0.162760737101315,-0.5170324688945,2.90815429969207
"countryMexico",-4.54775994423815,2.04206068671776,-2.22704446239933,0.0260203751815629,-8.63188131767366,-0.463638570802635
"countryU.S.",-0.71666685220309,1.42343673132086,-0.503476435891935,0.614667373378758,-3.5635403148448,2.13020661043862
"raceNon-Hispanic Black",1.15057922354785,1.39148873289259,0.826869234618994,0.408378837619694,-1.63239824223733,3.93355668933304
"raceMexican American",-4.18719101316783,1.20350204673129,-3.47917232425175,0.000510335694621449,-6.5941951066304,-1.78018691970526
"raceOther Hispanic",-1.86218648881959,2.54957661771465,-0.730390479690227,0.465210210916515,-6.96133972424889,3.23696674660971
"raceOther Race - Including Multi-Racial",1.97549710512786,2.19727776699969,0.899065714311275,0.368691892572023,-2.41905842887152,6.37005263912724
"education2",-2.14565062301213,1.4230284143248,-1.50780588877433,0.131712542102663,-4.99170745166173,0.700406205637474
"education3",-1.1882542343601,1.29096672006007,-0.920437541801862,0.357420295403712,-3.77018767448024,1.39367920576003
"education4",-0.772798578684034,1.30225795515502,-0.593429723830746,0.55293962650129,-3.37731448899407,1.831717331626
"education5",-4.65027541280289,1.42243206058881,-3.26924254707669,0.00109088696766939,-7.49513953398051,-1.80541129162528
"education7",-4.94304791106414,13.1379545213901,-0.376241819304236,0.706764499679905,-31.2189569538444,21.3328611317162
"education9",-25.9135044647518,13.2001040054768,-1.96312880974273,0.0497261226117636,-52.3137124757053,0.486703546201689
"educationUnknown",-2.41467792962824,2.46308114971964,-0.980348507763578,0.326995445174541,-7.34084022906752,2.51148436981103
"genderFemale",1.00256419992791,0.739143201587129,1.35638695962453,0.17508108752072,-0.475722203246351,2.48085060310217
"sedentary",-2.31193392718929,5.01716967824294,-0.460804412737931,0.644973299429137,-12.3462732836752,7.72240542929659
"activitycCounts",-0.0037589266447695,0.00325455363936999,-1.15497455604915,0.248195481235715,-0.0102680339235095,0.00275018063397049
