"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",-0.0333186227744406,0.132696064016863,-0.251089759302932,0.801763026417532,-0.298710750808166,0.232073505259285
"age",0.00116719894871053,0.00015201050112747,7.67840997860902,2.20610926029587e-14,0.000863177946455584,0.00147121995096547
"diabPre-diabete",0.0208521052210383,0.130603009425006,0.15966022002741,0.873160184998037,-0.240353913628974,0.282058124071051
"diabdiabete",0.000881911359067729,0.131722473577658,0.00669522318488643,0.994658498776424,-0.262563035796249,0.264326858514385
"diabUnknown",0.00467919381140632,0.130364328659303,0.0358932068268078,0.97137005565838,-0.256049463507201,0.265407851130013
"bmi",-0.000323893308440909,0.000403172810090012,-0.80336099145326,0.421833893822959,-0.00113023892862093,0.000482452311739116
"smokeSmoke",0.00179414382423477,0.00797752887416315,0.224899696702506,0.822073617273468,-0.0141609139240915,0.0177492015725611
"smokeUnknown",0.00716619589812921,0.00616326517316863,1.16272717411653,0.245038701313323,-0.00516033444820805,0.0194927262444665
"countryMexico",0.01710353814838,0.0155652105697693,1.09883114473237,0.271935627846423,-0.0140268829911585,0.0482339592879186
"countryU.S.",0.013568429121476,0.0104158946598652,1.30266573967556,0.192795384222411,-0.00726336019825441,0.0344002184412064
"raceNon-Hispanic Black",0.00379310880095839,0.0104440228896452,0.363184650305496,0.716494203186065,-0.017094936978332,0.0246811545802488
"raceMexican American",-0.00367272938035244,0.00984174813040758,-0.373178558492569,0.709043631600602,-0.0233562256411676,0.0160107668804627
"raceOther Hispanic",0.0216313252321701,0.0184701300734954,1.17115175399934,0.241636837038323,-0.0153089349148207,0.0585715853791608
"raceOther Race - Including Multi-Racial",0.00334160405237487,0.0161222741349907,0.207266296578004,0.835816875038389,-0.0289029442176066,0.0355861523223563
"education2",0.00707985883512023,0.0104478512518805,0.6776377902438,0.498057028819875,-0.0138158436686408,0.0279755613388813
"education3",-0.000193112870197777,0.00987675347966876,-0.0195522618434588,0.984401930768684,-0.0199466198295353,0.0195603940891397
"education4",-0.00018136463810152,0.0100435247171838,-0.0180578674527696,0.985593968192966,-0.020268414072469,0.019905684796266
"education5",-0.000118917948119287,0.0107477841836186,-0.0110644153332123,0.991172837435049,-0.0216144863153565,0.0213766504191179
"education9",-0.0403165755459731,0.130176274207357,-0.309707554556011,0.756806264675815,-0.300669123960687,0.22003597286874
"genderFemale",-0.0178275542925675,0.00525652028114948,-3.39151250999625,0.000704665287762242,-0.0283405948548664,-0.00731451373026851
"sedentary",-0.0208378923362985,0.0366381672763483,-0.56874821764762,0.569572358437869,-0.0941142268889951,0.0524384422163982
"activitycCounts",-1.35292736511094e-05,2.30866850216758e-05,-0.586020627838382,0.557908601154069,-5.97026436944611e-05,3.26440963922422e-05
