"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",51.0499857874485,13.2052701806903,3.86587968961797,0.000113178637558038,24.6394454260679,77.4605261488292
"age23",1.86492098038239,1.5122337177179,1.23322272115234,0.217595102531102,-1.15954645505341,4.8893884158182
"age28",5.84603001976644,1.50416237419041,3.88656844505432,0.000104004556785775,2.83770527138562,8.85435476814725
"age33",7.2794445831297,1.5206282409859,4.78712967898718,1.7787760878732e-06,4.23818810115789,10.3207010651015
"age38",10.0903090204249,1.51159039439849,6.67529315998341,2.95789426013191e-11,7.0671282316279,13.1134898092219
"age43",11.9304267571955,1.51383137582899,7.8809482665546,4.59519480143715e-15,8.90276400553748,14.9580895088534
"age48",12.7342494168883,1.5312595128115,8.31619285323316,1.39322393626528e-16,9.67173039126527,15.7967684425113
"age53",14.0970581612938,1.58840127564258,8.87499801055685,1.21425865599788e-18,10.9202556100087,17.273860712579
"age58",10.5707692037961,1.54507530686722,6.84158833994269,9.56183784543876e-12,7.48061859006169,13.6609198175306
"age63",10.6422249176411,1.54801869567797,6.87473926985119,7.61084339595486e-12,7.5461875262852,13.7382623089971
"age68",7.53402317969322,1.62472205876907,4.63711509241228,3.69331369974164e-06,4.28457906215507,10.7834672972314
"age73",4.83027577227046,1.6979677610711,2.84473938964745,0.00447671559435835,1.43434025012826,8.22621129441267
"age78",2.59915336415618,1.7004647636799,1.52849586752476,0.126501225561122,-0.80177616320361,6.00008289151598
"age83",-0.379594035705837,1.82590839694575,-0.207893252663056,0.835327276756109,-4.03141082959733,3.27222275818566
"diabPre-diabete",1.73030300328334,12.9668256291681,0.133440755105947,0.893854303386727,-24.2033482550528,27.6639542616195
"diabdiabete",2.84398181802695,13.0739291394469,0.217530765823568,0.82781041520466,-23.3038764608669,28.9918400969208
"diabUnknown",4.39087902442485,12.942895402309,0.339250135919473,0.73444647487536,-21.4949117801932,30.2766698290429
"bmi",0.199450326431648,0.0413668712075555,4.82149895821029,1.50014370322591e-06,0.116716584016537,0.282184068846759
"smokeSmoke",0.0513583054176532,0.8051249807155,0.0637892335324288,0.949142556268637,-1.55889165601335,1.66160826684865
"smokeUnknown",0.411227763085097,0.615220460288456,0.66842341831786,0.503917864460694,-0.819213157491815,1.64166868366201
"countryMexico",-2.33449280426598,1.54195096887086,-1.51398640514198,0.130140956239009,-5.4183947420077,0.749409133475729
"countryU.S.",0.0909529906879204,1.03813827159213,0.0876116343812575,0.930191553392241,-1.98532355249634,2.16722953387218
"raceNon-Hispanic Black",2.42423179470804,1.03625199804962,2.33942303539178,0.0193827534476497,0.351727798608803,4.49673579080728
"raceMexican American",1.25401615659232,0.976596835054307,1.28406739770213,0.199223487170456,-0.699177513516293,3.20720982670094
"raceOther Hispanic",-0.207988471376817,1.82026307566668,-0.114262863515287,0.909037525728264,-3.84851462271017,3.43253767995654
"raceOther Race - Including Multi-Racial",1.08443867543407,1.60033882185196,0.677630674596226,0.49806128528992,-2.11623896826985,4.28511631913799
"education2",-0.56036314078639,1.0641796575536,-0.526568175597892,0.598534763428069,-2.6887224558936,1.56799617432082
"education3",-0.772070789328249,0.991374872512336,-0.778787934549594,0.436169758520017,-2.75482053435292,1.21067895569642
"education4",-0.630084432977193,1.01227575719395,-0.62244346809589,0.53370045293237,-2.65463594736509,1.3944670814107
"education5",-1.81430871605873,1.08947451013363,-1.66530625469724,0.0959623563369685,-3.99325773632598,0.364640304208518
"education9",-9.89579476633149,12.9400166683571,-0.764743587272976,0.444488008486401,-35.7758281030456,15.9842385703826
"educationUnknown",-1.82288178769992,1.77362920564425,-1.02776937924733,0.304146157587998,-5.37014019898842,1.72437662358858
"genderFemale",2.40583322982803,0.522464878496075,4.6047750362728,4.31136049107427e-06,1.36090347283588,3.45076298682018
"sedentary",1.12421927258475,3.62628707538188,0.310019380488888,0.756569045320684,-6.12835487817901,8.37679342334851
"activitycCounts",-0.000885045918561611,0.00231603520326965,-0.382138370484245,0.702387425276434,-0.0055171163251009,0.00374702448797768
