"","Estimate","Std. Error","t value","Pr(>|t|)","LB","UB"
"(Intercept)",99.7988670935749,17.5914138356646,5.67315782721478,1.54376386559069e-08,64.6160394222458,134.981694764904
"age23",-0.0300150280917531,2.01452365461791,-0.0148993177731864,0.988113554441901,-4.05906233732758,3.99903228114407
"age28",2.25769653257656,2.00377140629136,1.12672360005135,0.2599548893508,-1.74984628000617,6.26523934515928
"age33",1.94374882619428,2.02570642715796,0.959541224796991,0.337368131638076,-2.10766402812163,5.9951616805102
"age38",5.51631989570602,2.01366665081662,2.73944045975481,0.00619297325970995,1.48898659407277,9.54365319733927
"age43",7.69569148083665,2.01665197646332,3.81607316019539,0.000138494738483112,3.66238752791001,11.7289954337633
"age48",9.79502502597383,2.03986888651883,4.80179147331849,1.65431093898925e-06,5.71528725293616,13.8747627990115
"age53",15.3155015508373,2.11599034283942,7.23798272646447,5.83933321050555e-13,11.0835208651585,19.5474822365162
"age58",19.6390117987634,2.05827361034326,9.54149715571015,2.92900720707674e-21,15.5224645780769,23.75555901945
"age63",24.2637938981043,2.06219464868179,11.7660056550018,3.08382829047066e-31,20.1394046007407,28.3881831954678
"age68",24.184081266561,2.16437511028991,11.1737014307661,2.13548405462459e-28,19.8553310459812,28.5128314871408
"age73",29.7532506218946,2.26194944563089,13.1538088436791,2.11656580103932e-38,25.2293517306328,34.2771495131563
"age78",32.2283562434265,2.26527583014548,14.2271222844225,2.03874101463904e-44,27.6978045831355,36.7589079037175
"age83",38.4904644484661,2.43238569125652,15.824161680783,4.14188306269896e-54,33.6256930659531,43.3552358309792
"diabPre-diabete",2.9116085391001,17.2737696886466,0.168556637698706,0.866157435825201,-31.6359308381931,37.4591479163933
"diabdiabete",0.140830474021264,17.4164477366371,0.00808606187385816,0.993548896315181,-34.6920649992528,34.9737259472954
"diabUnknown",-1.0884240725066,17.24189101308,-0.0631267226826167,0.949670053204839,-35.5722060986667,33.3953579536534
"bmi",0.481550311962693,0.0551069187181677,8.73847282998124,3.97138140648565e-18,0.371336474526358,0.591764149399029
"smokeSmoke",3.14440923918059,1.07254804569681,2.93171877175696,0.00339794423427749,0.999313147786966,5.28950533057422
"smokeUnknown",2.59598619740854,0.819566549492326,3.16751116674613,0.00155387223402614,0.956853098423889,4.23511929639319
"countryMexico",-0.857870274258002,2.05411152036673,-0.417635686160236,0.676245183482,-4.96609331499145,3.25035276647545
"countryU.S.",0.676292047265808,1.38295693343126,0.489018877535007,0.624866227648795,-2.08962181959671,3.44220591412832
"raceNon-Hispanic Black",5.91750790608179,1.38044413225116,4.28666960714435,1.8743346147594e-05,3.15661964157947,8.6783961705841
"raceMexican American",1.0138669423018,1.30097444739616,0.779313494074391,0.435860230361223,-1.58808195249052,3.61581583709412
"raceOther Hispanic",0.324953893604298,2.42486527088673,0.134009050938103,0.893404946192938,-4.52477664816917,5.17468443537776
"raceOther Race - Including Multi-Racial",-0.0591008043277072,2.1318929569229,-0.0277222194180947,0.977885656630436,-4.32288671817351,4.20468510951809
"education2",0.254792357695297,1.41764799170073,0.17972893072675,0.857378247050346,-2.58050362570617,3.09008834109677
"education3",-0.850325861677844,1.32066102472824,-0.643863827095846,0.519715914997914,-3.49164791113432,1.79099618777863
"education4",-1.22743165672493,1.34850415909313,-0.910217182830475,0.362785500048632,-3.9244399749112,1.46957666146134
"education5",-2.76720027594521,1.45134455478189,-1.90664599031831,0.0566676238220827,-5.66988938550898,0.135488833618571
"education9",-15.7203772116422,17.2380561047761,-0.911957654395069,0.361868685022864,-50.1964894211944,18.75573499791
"educationUnknown",-0.661057886578041,2.36274191444661,-0.279784212797897,0.779663511545369,-5.38654171547126,4.06442594231518
"genderFemale",2.29978637383915,0.696002108738694,3.30428075571045,0.000964065327725304,0.907782156361767,3.69179059131654
"sedentary",-10.9333327180973,4.83076194254964,-2.26327292632574,0.0236943160758696,-20.5948566031966,-1.27180883299805
"activitycCounts",0.00216030841478593,0.00308530860491292,0.700192003920108,0.483864959906426,-0.00401030879503991,0.00833092562461177
