Variables,Confidence Interval
Intercept,
(Intercept),44.071 (20.358~67.784)
Age,
age,0.107 (0.079~0.134)
Diabete,
diabPre-diabete,8.09 (-15.333~31.512)
diabdiabete,10.74 (-12.956~34.435)
diabUnknown,11.508 (-11.868~34.883)
BMI,
bmi,0.379 (0.301~0.456)
Smoke,
smokeSmoke,1.965 (0.597~3.332)
smokeUnknown,0.55 (-0.528~1.628)
Country,
countryMexico,-1.005 (-3.584~1.574)
countryU.S.,0.309 (-1.489~2.106)
Race,
raceNon-Hispanic Black,1.036 (-0.719~2.791)
raceMexican American,-1.575 (-3.091~-0.06)
raceOther Hispanic,-0.016 (-3.216~3.185)
raceOther Race - Including Multi-Racial,2.856 (0.089~5.623)
Education,
education2,0.004 (-1.726~1.735)
education3,2.109 (0.503~3.715)
education4,3.233 (1.614~4.852)
education5,2.707 (0.946~4.468)
education7,-1.333 (-17.877~15.211)
education9,1.869 (-14.694~18.433)
Gender,
genderFemale,2.193 (1.261~3.125)
sedentary,-7.93 (-14.228~-1.632)
Activity,
activitycCounts,-0.0 (-0.004~0.004)
