Variables,0304_di_lm_model_coef.cs,0304_sy_lm_model_coef.cs
Intercept,,
(Intercept),43.454*** (19.657~67.25),89.546*** (51.867~127.225)
Age,,
age,0.102*** (0.075~0.128),0.657*** (0.615~0.7)
Diabete,,
diabPre-diabete,9.389 (-14.08~32.858),-2.897 (-40.057~34.262)
diabdiabete,12.232 (-11.509~35.974),-0.381 (-37.972~37.21)
diabUnknown,12.948 (-10.472~36.368),-2.339 (-39.422~34.744)
BMI,,
bmi,0.372*** (0.294~0.449),0.4*** (0.278~0.523)
Smoke,,
smokeSmoke,2.016** (0.647~3.386),0.983 (-1.186~3.151)
smokeUnknown,0.588 (-0.493~1.669),1.507 (-0.204~3.219)
Country,,
countryUnited States,0.991 (-0.299~2.282),1.712 (-0.331~3.755)
raceNon-Hispanic Black,0.9 (-2.047~3.847),2.076 (-2.59~6.743)
Race,,
raceHispanic,-1.657 (-4.47~1.156),-3.991 (-8.446~0.463)
raceOther,-0.16 (-2.906~2.586),0.371 (-3.977~4.719)
Education,,
educationmore than high school,2.092*** (1.167~3.017),-1.298 (-2.762~0.167)
educationRefused/Missing,-0.566 (-12.302~11.17),-12.673 (-31.256~5.91)
Gender,,
genderFemale,2.19*** (1.255~3.124),1.309 (-0.17~2.788)
Activity,,
sedentary,-7.294* (-13.537~-1.052),-4.057 (-13.941~5.827)
activitycCounts,-0.001 (-0.005~0.003),-0.007* (-0.013~-0.001)
