Variables,normal
Intercept,
(Intercept),1.644*** (0.767~2.522)
Age,
age,-0.011*** (-0.012~-0.01)
Diabete,
diabPre-diabete,-0.291 (-1.154~0.572)
diabdiabete,-0.2 (-1.071~0.671)
diabUnknown,-0.24 (-1.101~0.622)
BMI,
bmi,-0.013*** (-0.015~-0.01)
Smoke,
smokeSmoke,-0.019 (-0.072~0.033)
smokeUnknown,-0.04 (-0.081~0.001)
Country,
countryUnited States,-0.039 (-0.09~0.012)
raceNon-Hispanic Black,-0.139** (-0.245~-0.032)
Race,
raceHispanic,-0.032 (-0.136~0.073)
raceOther,0.029 (-0.072~0.13)
Education,
educationmore than high school,0.025 (-0.01~0.06)
educationRefused/Missing,-0.353 (-1.217~0.51)
Gender,
genderFemale,-0.135*** (-0.17~-0.1)
Activity,
sedentary,0.191 (-0.051~0.432)
activitycCounts,-0.0 (-0.0~0.0)
